country,year,"GDP (current US$)","Patent applications", "residents,CO2 emissions (kt)","Scientific and technical journal articles"
United Kingdom,1997,1368099214150,17938,553673,45884,10171
United Kingdom,1998,1461937727720,19530,554139,46142,10083
United Kingdom,1999,1503751820090,21333,535551,46788,10399
United Kingdom,2000,1475705855650,22050,543663,48217,10697
United Kingdom,2001,1468026486250,21423,550553,45587,10658
United Kingdom,2002,1601617206240,20624,531939,44643,10907
United Kingdom,2003,1855666938780,20426,540641,45233,11198
United Kingdom,2004,2196860009520,19178,540410,45492,10776
United Kingdom,2005,2295844712160,17833,541990,45659,10155
United Kingdom,2006,2452969436250,17484,542045,46747,8261
United Kingdom,2007,2825526440060,17375,528632,47139,7624
United Kingdom,2008,2648935779080,16523,522247,46334,6856
United Kingdom,2009,2183862761500,15985,474580,45649,6480
United Kingdom,2010,2256260000000,15490,0,0,6439
United Kingdom,2011,2444883870970,15343,0,0,6916
Greece,1990,93345420405,241,72724,1397,466
Greece,1991,100260801400,188,67616,1598,192
Greece,1992,110827664282,222,75504,1736,211
Greece,1993,103756401539,221,75647,1759,171
Greece,1994,111187280894,267,78364,1974,139
Greece,1995,130522282544,266,79186,2059,46
Greece,1996,138028597015,267,80396,2250,37
Greece,1997,134653112719,293,84573,2434,57
Greece,1998,135274145129,276,87810,2612,34
Greece,1999,133187471441,290,86637,2626,33
Greece,2000,124418164456,306,91617,2977,34
Greece,2001,129841697352,385,93806,3204,49
Greece,2002,146050256231,376,93670,3448,36
Greece,2003,192850219245,393,95739,3587,27
Greece,2004,227950420086,379,97150,3929,28
Greece,2005,240075690333,462,98676,4292,20
Greece,2006,261713232776,532,97286,4875,30
Greece,2007,305431771155,575,98247,4982,20
Greece,2008,341593975534,628,97818,4954,30
Greece,2009,321016154722,698,94917,4881,22
Greece,2010,292304602599,728,0,0,16
Greece,2011,289627362871,0,0,0,0
"Hong Kong SAR, China",1990,76928290842,21,27661,827,1060
"Hong Kong SAR, China",1991,88959620136,16,28893,783,1076
"Hong Kong SAR, China",1992,104272278635,11,33429,824,1248
"Hong Kong SAR, China",1993,120353947981,9,35130,959,1186
"Hong Kong SAR, China",1994,135812069769,21,31430,1075,1619
"Hong Kong SAR, China",1995,144652912434,23,31621,0,1938
"Hong Kong SAR, China",1996,159717233622,41,29366,0,2059
"Hong Kong SAR, China",1997,177352785420,26,30855,0,2359
"Hong Kong SAR, China",1998,168886163222,128,39234,0,14539
"Hong Kong SAR, China",1999,165768095392,42,42754,0,5998
"Hong Kong SAR, China",2000,171668164083,51,40466,0,8244
"Hong Kong SAR, China",2001,169403241525,74,37972,0,8840
"Hong Kong SAR, China",2002,166349228738,112,36953,0,9018
"Hong Kong SAR, China",2003,161384522526,107,40066,0,8995
"Hong Kong SAR, China",2004,169099768876,127,38416,0,9878
"Hong Kong SAR, China",2005,181570082163,156,40547,0,11607
"Hong Kong SAR, China",2006,193536265095,172,38555,0,13618
"Hong Kong SAR, China",2007,211597405594,160,39963,0,13606
"Hong Kong SAR, China",2008,219279678431,173,38574,0,13489
"Hong Kong SAR, China",2009,214046415027,149,36993,0,11708
"Hong Kong SAR, China",2010,228695747310,133,0,0,11569
"Hong Kong SAR, China",2011,248725976362,181,0,0,13312
Indonesia,1990,114426498045,0,149566,104,0
Indonesia,1991,128167999847,34,179731,89,1280
Indonesia,1992,139116270053,67,202577,86,3905
Indonesia,1993,158006849879,38,218601,103,2031
Indonesia,1994,176892148244,29,221414,120,2305
Indonesia,1995,202132032845,61,224942,130,2813
Indonesia,1996,227369671350,40,253291,141,3957
Indonesia,1997,215748854647,79,278659,147,3939
Indonesia,1998,95445548018,93,210211,136,1753
Indonesia,1999,140001352528,152,241989,163,2784
Indonesia,2000,165021012262,157,263419,182,3733
Indonesia,2001,160446947639,212,294908,189,3714
Indonesia,2002,195660611034,234,306738,179,3609
